"","gene.symbol","organ.specificity.list"
"37","COL2A1","Eye: Retina;Face;Skeleton;Eye: Physiology;Eye: Lens,Face;Skeleton,Face;Skeleton,Face;Skeleton,Eye: Retina;Face;Skeleton;Eye: Physiology"
"38","TGFB3","Face;Skeleton;Heart/Cardiovasculature/Lymphatic"
"39","PIGO","Endocrine/Metabolic;Brain/Cognition"
"40","GJA1","Skeleton;Eye;Teeth and Dentition,Skeleton;Eye;Teeth and Dentition,Skeleton;Eye;Teeth and Dentition,Skeleton;Eye;Teeth and Dentition,Skeleton;Eye;Teeth and Dentition"
"41","PLK4","Brain/Cognition;Eye"
"42","ARSA","Endocrine/Metabolic;Brain/Cognition"
"43","CLN3","Endocrine/Metabolic;Brain/Cognition;Eye"
"44","LRP5","Skeleton;Eye,Skeleton;Eye,Skeleton;Eye,Skeleton;Eye,Eye: Vitreous;Eye: Retina;Skeleton;Eye: Structure;Eye: Lens;Eye"
"45","FOXP2","Brain/Cognition"
"46","DOCK6","Skin;Skeleton"
"47","SLC6A3","Brain/Cognition"
"48","CHAMP1","Brain/Cognition"
"49","XPC","Bone Marrow/Immune;Skin;Skeleton"
"50","FOXE3","Eye: Cornea;Eye: Structure;Eye: Lens;Eye,Eye: Cornea;Eye: Structure;Eye: Lens;Eye"
"51","SUMO1","Face"
"52","CLN8","Endocrine/Metabolic;Brain/Cognition"
"53","MKKS","Kidney Renal Tract;Skeleton;Brain/Cognition;Eye;Genitalia"
"54","NPHS1","Kidney Renal Tract"
"55","ACAN","Skeleton,Skeleton"
"56","LRPAP1","Eye"
"57","FLNA","Face;Skeleton;Brain/Cognition,Face;Skeleton;Brain/Cognition,Face;Skeleton;Brain/Cognition,Face;Skeleton;Brain/Cognition,Face;Skeleton;Brain/Cognition,Face;Skeleton;Brain/Cognition,Skin;Skeleton;Face;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"58","NAGA","Endocrine/Metabolic;Brain/Cognition"
"59","PLCB1","Brain/Cognition"
"60","NT5C3A","Bone Marrow/Immune"
"61","SLC4A11","Eye"
"62","ARX","Brain/Cognition;Genitalia,Brain/Cognition;Genitalia"
"63","IQSEC2","Brain/Cognition"
"64","VSX2","Eye,Eye"
"65","NSDHL","Skin;Skeleton,Skeleton;Skin;Kidney Renal Tract;Face;Brain/Cognition;Hair/Nails;Ear;Genitalia"
"66","DPAGT1","Endocrine/Metabolic;Brain/Cognition,Endocrine/Metabolic;Brain/Cognition"
"67","KBTBD13","Musculature"
"68","SOX9","Face;Skeleton;Genitalia,Face;Skeleton;Genitalia"
"69","AMER1","Face;Skeleton"
"70","PLCB4","Face;Ear"
"71","NEK8","Kidney Renal Tract;GI tract;Heart/Cardiovasculature/Lymphatic,Kidney Renal Tract;GI tract;Heart/Cardiovasculature/Lymphatic"
"72","TRAPPC2","Skeleton"
"73","HOXC13","Hair/Nails"
"74","CDC6","Skeleton;Brain/Cognition;Ear"
"75","IFT140","Kidney Renal Tract;Skeleton;Eye"
"76","PIGV","Endocrine/Metabolic;Brain/Cognition"
"77","MSX1","Face;Hair/Nails;Teeth and Dentition"
"78","MAGEL2","Brain/Cognition"
"79","STIM1","Musculature"
"80","SLC2A1","Brain/Cognition"
"81","TWIST2","Unknown,Skin"
"82","GRHL2","Skin;Skeleton"
"83","HADH","Endocrine/Metabolic;Brain/Cognition"
"84","PRRT2","Brain/Cognition,Brain/Cognition"
"85","GDF5","Skeleton,Skeleton"
"86","OTC","Endocrine/Metabolic;Brain/Cognition"
"87","EXPH5","Skin"
"88","ZEB1","Eye"
"89","CRYBB2","Eye,Eye"
"90","STAT5B","Endocrine/Metabolic"
"91","SALL1","Kidney Renal Tract;Skeleton;GI tract;Ear"
"92","PDE6G","Eye: Retina;Eye"
"93","JAM3","Eye: Lens;Brain/Cognition;Eye"
"94","NALCN","Skeleton;Brain/Cognition,Skeleton;Brain/Cognition"
"95","FOXN1","Bone Marrow/Immune;Hair/Nails"
"96","BBS10","Endocrine;Eye: Retina;Skeleton;Brain/Cognition;Eye;Genitalia"
"97","MTO1","Endocrine/Metabolic;Heart/Cardiovasculature/Lymphatic"
"98","FTO","Skeleton;Brain/Cognition;GI tract;Genitalia;Heart/Cardiovasculature/Lymphatic"
"99","XYLT1","Skeleton,Skeleton;Brain/Cognition"
"100","CHRNG","Musculature;Spinal cord/Peripheral nerves"
"101","CHSY1","Skeleton"
"102","KIFBP","Brain/Cognition;GI tract"
"103","IFT172","Kidney Renal Tract;Skeleton;Brain/Cognition"
"104","INPP5E","Brain/Cognition;Eye;Genitalia,Brain/Cognition;Eye;Genitalia"
"105","CACNA1D","Endocrine/Metabolic;Brain/Cognition,Endocrine/Metabolic;Brain/Cognition"
"106","GATA6","Heart/Cardiovasculature/Lymphatic,Heart/Cardiovasculature/Lymphatic,Heart/Cardiovasculature/Lymphatic"
"107","DOCK8","Bone Marrow/Immune;Brain/Cognition"
"108","SLC46A1","Bone Marrow/Immune;Endocrine/Metabolic;Brain/Cognition"
"109","DMPK","Musculature;Endocrine/Metabolic;Eye: Lens;Eye"
"110","AGA","Skeleton;Endocrine/Metabolic;Brain/Cognition"
"111","CSTA","Skin"
"112","SLC25A38","Bone Marrow/Immune"
"113","COL11A2","Face;Skeleton;Eye;Ear,Face;Skeleton;Eye;Ear,Face;Skeleton;Eye;Ear,Face;Skeleton;Eye;Ear"
"114","DLX5","Skeleton"
"115","BRCA1","Brain/Cognition"
"116","ABCC6","Skin;Kidney Renal Tract;GI tract;Eye;Genitalia;Heart/Cardiovasculature/Lymphatic"
"117","AFF2","Brain/Cognition"
"118","MRPS22","Face;Endocrine/Metabolic;Brain/Cognition"
"119","HOXA1","Eye;Brain/Cognition;Ear;Heart/Cardiovasculature/Lymphatic"
"120","KCNE1","Ear;Heart/Cardiovasculature/Lymphatic,Ear;Heart/Cardiovasculature/Lymphatic"
"121","GPSM2","Brain/Cognition;Ear"
"122","ACTB","Brain/Cognition;Eye,Kidney Renal Tract;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"123","PXDN","Eye"
"124","EBP","Skeleton;Eye: Structure;Eye: Lens;Eye;Brain/Cognition"
"125","PSMB8","Bone Marrow/Immune;Skeleton"
"126","ASCC3","Brain/Cognition"
"127","LAMC3","Brain/Cognition"
"128","XRCC4","Endocrine/Metabolic;Brain/Cognition"
"129","MAT1A","Endocrine/Metabolic;Brain/Cognition"
"130","SCN11A","Spinal cord/Peripheral nerves,Spinal cord/Peripheral nerves"
"131","COL9A1","Face;Skeleton;Eye,Face;Skeleton;Eye"
"132","NKX2-5","Heart/Cardiovasculature/Lymphatic,Heart/Cardiovasculature/Lymphatic,Heart/Cardiovasculature/Lymphatic"
"133","TCF4","Face;Brain/Cognition"
"134","GFM1","Endocrine/Metabolic;Brain/Cognition"
"135","TUBA8","Brain/Cognition;Eye"
"136","IGF2","Endocrine,Endocrine"
"137","FGFR2","Face;Skeleton,Face;Skeleton,Face;Skeleton,Face;Skeleton,Face;Skeleton,Face;Skeleton,Face;Skeleton"
"138","BBS4","Endocrine;Kidney Renal Tract;Eye: Retina;Skeleton;Brain/Cognition;Eye;Genitalia"
"139","SLC24A4","Teeth and Dentition"
"140","PCNT","Bone Marrow/Immune;Brain/Cognition"
"141","BUB1B","Skeleton;Eye: Lens;Brain/Cognition;Genitalia"
"142","EYA1","Kidney Renal Tract;Eye;Ear"
"143","NAGS","Endocrine/Metabolic"
"144","SNAP29","Skin;Face;Spinal cord/Peripheral nerves;Eye;Brain/Cognition;Ear"
"145","TBX1","Bone Marrow/Immune;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"146","RPS6KA3","Face;Brain/Cognition,Face;Brain/Cognition"
"147","SLC25A15","Endocrine/Metabolic;Brain/Cognition"
"148","PYGL","GI tract"
"149","BRAT1","Brain/Cognition"
"150","ATP7A","Skin;Skeleton;Endocrine/Metabolic;Brain/Cognition,Skin;Skeleton;Endocrine/Metabolic;Brain/Cognition"
"151","RFT1","Endocrine/Metabolic"
"152","ALDH18A1","Musculature;Skin;Spinal cord/Peripheral nerves;Skeleton;Endocrine/Metabolic;Eye: Lens;Brain/Cognition,Skin;Skeleton;Brain/Cognition,Skin;Eye: Cornea;Skeleton;Eye: Lens;Brain/Cognition"
"153","PYCR1","Skin"
"154","GDI1","Brain/Cognition"
"155","COQ2","Endocrine/Metabolic"
"156","GLDC","Endocrine/Metabolic;Brain/Cognition"
"157","TBL1XR1","Skeleton;Brain/Cognition,Brain/Cognition"
"158","NOP10","Bone Marrow/Immune;Skin"
"159","MPDU1","Endocrine/Metabolic;Brain/Cognition"
"160","TCTN2","Kidney Renal Tract;Skeleton;Brain/Cognition"
"161","PLEC","Musculature;Skin"
"162","TCTN1","Brain/Cognition"
"163","SLC4A1","Kidney Renal Tract;Endocrine/Metabolic,Kidney Renal Tract;Endocrine/Metabolic"
"164","FANCC","Bone Marrow/Immune;Skeleton"
"165","CNTNAP2","Brain/Cognition"
"166","SMARCE1","Skeleton;Brain/Cognition"
"167","MRE11","Musculature;Spinal cord/Peripheral nerves;Eye;Brain/Cognition"
"168","RABL6","Brain/Cognition"
"169","DDB2","Skin;Skeleton"
"170","PIK3R1","Skeleton;Eye: Physiology;Eye;Skin;Endocrine/Metabolic;Eye: Structure;Ear;Teeth and Dentition,Skeleton;Endocrine/Metabolic;Eye"
"171","VPS13B","Eye: Retina;Skeleton;Brain/Cognition;Teeth and Dentition"
"172","ERCC3","Skin;Skeleton;Brain/Cognition;Eye;Ear"
"173","SMPD1","Endocrine/Metabolic;Brain/Cognition;GI tract"
"174","WNT4","Brain/Cognition;Genitalia,Brain/Cognition;Genitalia"
"175","GLUD1","Endocrine/Metabolic"
"176","HADHA","Endocrine/Metabolic;Brain/Cognition"
"177","DDHD1","Brain/Cognition"
"178","SLC52A3","Brain/Cognition;Ear"
"179","FRY","Brain/Cognition"
"180","HUWE1","Skeleton;Brain/Cognition"
"181","DYNC1H1","Brain/Cognition,Brain/Cognition"
"182","MEGF10","Musculature"
"183","ARL14EP","Brain/Cognition"
"184","ADGRG1","Brain/Cognition"
"185","MPLKIP","Skin;Brain/Cognition"
"186","L1CAM","Brain/Cognition"
"187","WT1","Kidney Renal Tract;Genitalia;Heart/Cardiovasculature/Lymphatic"
"188","B3GALT6","Skin;Skeleton;Eye: Physiology;Eye: Lens;Eye;Heart/Cardiovasculature/Lymphatic"
"189","CHRDL1","Eye"
"190","DVL1","Face;Skeleton;Genitalia"
"191","CNKSR1","Brain/Cognition"
"192","DSTYK","Kidney Renal Tract,Skin;Brain/Cognition"
"193","TMEM114","Eye: Lens;Eye"
"194","ALG8","Endocrine/Metabolic;Brain/Cognition"
"195","MASP1","Face;Skeleton;Brain/Cognition"
"196","ROR2","Skeleton;Brain/Cognition;Genitalia,Skeleton;Brain/Cognition;Genitalia"
"197","KCNC3","Brain/Cognition"
"198","NDP","Eye: Vitreous;Eye: Vasculature;Brain/Cognition;Eye;Ear"
"199","KAT6A","Brain/Cognition"
"200","BCOR","Skeleton;Eye: Structure;Eye: Lens;Brain/Cognition;Eye;Teeth and Dentition;Heart/Cardiovasculature/Lymphatic"
"201","HDAC8","Skeleton;Brain/Cognition,Skeleton;Brain/Cognition"
"202","PDSS1","Endocrine/Metabolic;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"203","FREM2","Skin;Kidney Renal Tract;Eye;Heart/Cardiovasculature/Lymphatic"
"204","ALG1","Endocrine/Metabolic;Brain/Cognition;GI tract"
"205","AUTS2","Brain/Cognition"
"206","RARS2","Brain/Cognition"
"207","POLD1","Skin;Ear;Genitalia"
"208","LRAT","Brain/Cognition;Eye"
"209","KARS1","Spinal cord/Peripheral nerves;Ear,Spinal cord/Peripheral nerves;Ear"
"210","SLC35C1","Bone Marrow/Immune;Face;Brain/Cognition"
"211","SATB2","Face;Skeleton;Brain/Cognition"
"212","SNX3","Face;Brain/Cognition;Eye"
"213","NDUFS8","Endocrine/Metabolic;Brain/Cognition"
"214","PHC1","Brain/Cognition"
"215","SCN4A","Musculature,Musculature,Musculature"
"216","KRIT1","Skin;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"217","ALG11","Endocrine/Metabolic;Brain/Cognition"
"218","HESX1","Endocrine;Brain/Cognition,Endocrine;Brain/Cognition"
"219","TRMT1","Brain/Cognition"
"220","DLL3","Skeleton"
"221","FANCF","Bone Marrow/Immune;Skeleton"
"222","FH","Kidney Renal Tract;Endocrine/Metabolic;Brain/Cognition"
"223","POMGNT1","Musculature;Brain/Cognition;Eye,Musculature;Brain/Cognition;Eye"
"224","MYO7A","Eye;Ear"
"225","RUNX2","Skeleton;Teeth and Dentition"
"226","CRYGC","Eye"
"227","OCRL","Skeleton;GI tract;Eye;Skin;Kidney Renal Tract;Endocrine/Metabolic;Brain/Cognition;Teeth and Dentition;Genitalia,Skin;Endocrine/Metabolic;Brain/Cognition"
"228","RFX6","Endocrine/Metabolic;GI tract"
"229","LRPPRC","Endocrine/Metabolic;Brain/Cognition"
"230","NUP62","Brain/Cognition"
"231","NPR2","Skin;Skeleton;Hair/Nails"
"232","PET100","Endocrine/Metabolic;Brain/Cognition"
"233","SRCAP","Skeleton;Brain/Cognition,Unknown"
"234","COASY","Brain/Cognition"
"235","NPHP4","Kidney Renal Tract"
"236","PRRX1","Face;Ear,Face;Ear"
"237","EVC","Skeleton;Teeth and Dentition;Heart/Cardiovasculature/Lymphatic"
"238","SCN1A","Brain/Cognition"
"239","ZFYVE26","Brain/Cognition;Eye"
"240","PARP1","Brain/Cognition"
"241","DEAF1","Brain/Cognition,Brain/Cognition"
"242","WDR35","Skeleton"
"243","SCAPER","Brain/Cognition"
"244","ELN","Skin;Heart/Cardiovasculature/Lymphatic"
"245","RNASEH2A","Skin;Brain/Cognition"
"246","GJB3","Skin;Ear,Skin;Ear,Skin;Ear"
"247","AP4M1","Brain/Cognition"
"248","NR2F2","Heart/Cardiovasculature/Lymphatic"
"249","C12orf57","Skeleton;Eye: Retina;Eye: Lens;Brain/Cognition"
"250","SMARCB1","Musculature;Skeleton;Brain/Cognition;Cancer predisposition,Musculature;Skeleton;Brain/Cognition;Cancer predisposition"
"251","MOCS1","Endocrine/Metabolic;Brain/Cognition"
"252","DLAT","Endocrine/Metabolic"
"253","SH3PXD2B","Skeleton;Eye;Heart/Cardiovasculature/Lymphatic"
"254","NR2F1","Brain/Cognition;Eye"
"255","KAT6B","Skeleton;Brain/Cognition;Genitalia,Skeleton;Brain/Cognition;Genitalia"
"256","GLI3","Endocrine;Skeleton;Brain/Cognition,Endocrine;Skeleton;Brain/Cognition"
"257","RETREG1","Spinal cord/Peripheral nerves"
"258","PIP5K1C","Skeleton;Spinal cord/Peripheral nerves,Unknown"
"259","PAH","Skin;Endocrine/Metabolic;Brain/Cognition"
"260","GHR","Endocrine/Metabolic"
"261","COQ4","Endocrine/Metabolic;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"262","PAX9","Teeth and Dentition"
"263","FHL1","Musculature"
"264","CDH23","Eye;Ear,Eye;Ear"
"265","TRPM1","Eye"
"266","PEX13","Kidney Renal Tract;Skeleton;Endocrine/Metabolic;Brain/Cognition;GI tract"
"267","AP1S2","Brain/Cognition"
"268","STS","Skin;Eye"
"269","ALPL","Skeleton"
"270","GLI2","Brain/Cognition"
"271","ASAH1","Skin;Spinal cord/Peripheral nerves;Brain/Cognition,Skin;Spinal cord/Peripheral nerves;Brain/Cognition"
"272","MMAA","Multisystem;Brain/Cognition"
"273","PGAP2","Skeleton;Brain/Cognition"
"274","STRA6","Brain/Cognition;Eye;Respiratory tract;Heart/Cardiovasculature/Lymphatic"
"275","ZNF711","Brain/Cognition"
"276","PRSS12","Brain/Cognition"
"277","FKRP","Musculature;Brain/Cognition;Eye"
"278","HCCS","Skin;Eye"
"279","STAMBP","Skin;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"280","NKX3-2","Skeleton"
"281","NSUN2","Brain/Cognition"
"282","PEX16","Skeleton;Endocrine/Metabolic;Brain/Cognition;Eye;Ear"
"283","ITCH","Bone Marrow/Immune"
"284","DPM3","Face;Endocrine/Metabolic;Brain/Cognition"
"285","DDC","Endocrine/Metabolic;Brain/Cognition;GI tract"
"286","NFU1","Endocrine/Metabolic;Brain/Cognition"
"287","DEPDC5","Brain/Cognition"
"288","SYT1","Brain/Cognition"
"289","PIK3CA","Skeleton;Endocrine/Metabolic,Skeleton;Endocrine/Metabolic,Skeleton;Endocrine/Metabolic"
"290","DHODH","Face;Skeleton"
"291","PRPS1","Spinal cord/Peripheral nerves;Endocrine/Metabolic,Spinal cord/Peripheral nerves;Endocrine/Metabolic,Spinal cord/Peripheral nerves;Endocrine/Metabolic"
"292","DMP1","Skeleton;Endocrine/Metabolic"
"293","RAX","Eye: Structure;Brain/Cognition;Eye"
"294","SLC25A19","Endocrine/Metabolic;Brain/Cognition"
"295","B3GALNT2","Musculature;Eye: Retina;Eye: Structure;Eye: Lens;Brain/Cognition;Eye;Eye: Optic nerve"
"296","ARHGAP31","Skin;Skeleton"
"297","BBS5","Endocrine;Kidney Renal Tract;Eye: Retina;Skeleton;Brain/Cognition;Eye;Genitalia"
"298","PECR","Brain/Cognition"
"299","MPDZ","Brain/Cognition"
"300","DHTKD1","Endocrine/Metabolic;Brain/Cognition"
"301","ABCB6","Eye: Structure;Eye"
"302","SLC6A1","Brain/Cognition"
"303","HSPD1","Brain/Cognition"
"304","GAMT","Endocrine/Metabolic;Brain/Cognition"
"305","SLC2A10","Skin;Skeleton;Face;GI tract;Heart/Cardiovasculature/Lymphatic"
"306","CFC1","Heart/Cardiovasculature/Lymphatic"
"307","PLOD3","Skin;Face;Skeleton;Heart/Cardiovasculature/Lymphatic"
"308","ARID1B","Skin;Skeleton;Brain/Cognition"
"309","PLXND1","Spinal cord/Peripheral nerves;Eye;Heart/Cardiovasculature/Lymphatic,Spinal cord/Peripheral nerves;Eye;Heart/Cardiovasculature/Lymphatic"
"310","PLCG2","Bone Marrow/Immune;Skin,Bone Marrow/Immune;Skin"
"311","SHROOM3","Skeleton;Spinal cord/Peripheral nerves"
"312","VRK1","Brain/Cognition"
"313","WWOX","Spinal cord/Peripheral nerves;Brain/Cognition,Brain/Cognition"
"314","AGL","Endocrine/Metabolic"
"315","TRPS1","Skin;Face;Skeleton"
"316","KLHL40","Musculature"
"317","LRP2","Brain/Cognition,Kidney Renal Tract;Brain/Cognition;Eye;Ear"
"318","MGAT2","Bone Marrow/Immune;Endocrine/Metabolic;Brain/Cognition"
"319","SOX11","Brain/Cognition"
"320","ATP13A2","Brain/Cognition"
"321","RELN","Brain/Cognition"
"322","GALT","Endocrine/Metabolic;Brain/Cognition;Eye;GI tract"
"323","UGT1A1","Endocrine/Metabolic;GI tract"
"324","LYST","Bone Marrow/Immune;Skin;Kidney Renal Tract;Eye: Retina;Eye"
"325","ZEB2","Face;Brain/Cognition;GI tract"
"326","TTC8","Kidney Renal Tract;Skeleton;Brain/Cognition;Eye;Heart/Cardiovasculature/Lymphatic,Kidney Renal Tract;Eye: Retina;Skeleton;Brain/Cognition;Eye;Heart/Cardiovasculature/Lymphatic"
"327","PRKAR1A","Skeleton;Endocrine/Metabolic"
"328","IFT43","Skin;Skeleton;GI tract;Heart/Cardiovasculature/Lymphatic"
"329","FLVCR2","Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"330","CYP2U1","Brain/Cognition"
"331","ANTXR1","Skin;Endocrine/Metabolic;Teeth and Dentition"
"332","NPHS2","Kidney Renal Tract"
"333","EHMT1","Face;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"334","CDT1","Skeleton;Brain/Cognition;Ear"
"335","TTN","Musculature;Heart/Cardiovasculature/Lymphatic"
"336","FBLN1","Skeleton"
"337","PTPRF","Skin"
"338","SLC13A5","Brain/Cognition;Teeth and Dentition"
"339","MANBA","Spinal cord/Peripheral nerves;Endocrine/Metabolic;Brain/Cognition"
"340","PTDSS1","Face;Skeleton;Brain/Cognition,Unknown"
"341","RSPO4","Skin"
"342","SLC25A20","Endocrine/Metabolic;Brain/Cognition"
"343","WNT10B","Skeleton"
"344","PEX1","Skeleton;Eye;GI tract;Musculature;Kidney Renal Tract;Face;Endocrine/Metabolic;Brain/Cognition;Ear"
"345","TREX1","Skin;Brain/Cognition"
"346","KCNA2","Brain/Cognition,Brain/Cognition"
"347","RAD21","Face;Skeleton;Brain/Cognition"
"348","SZT2","Brain/Cognition"
"349","HPD","Endocrine/Metabolic;Brain/Cognition,Endocrine/Metabolic;Brain/Cognition"
"350","GNPAT","Skin;Skeleton;Endocrine/Metabolic;Brain/Cognition;Eye"
"351","DNM1","Brain/Cognition,Unknown"
"352","COG5","Endocrine/Metabolic;Brain/Cognition"
"353","HEXB","Endocrine/Metabolic;Brain/Cognition;Eye"
"354","MED13L","Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"355","MESP2","Skeleton"
"356","CDK5RAP2","Brain/Cognition"
"357","PCBD1","Endocrine/Metabolic;Brain/Cognition"
"358","TEK","Skin;Heart/Cardiovasculature/Lymphatic"
"359","BCAP31","Brain/Cognition;Ear"
"360","MYH6","Heart/Cardiovasculature/Lymphatic"
"361","KANK1","Brain/Cognition"
"362","ANKRD11","Skeleton;Brain/Cognition;Teeth and Dentition"
"363","PHF21A","Brain/Cognition"
"364","VANGL1","Skeleton;Spinal cord/Peripheral nerves"
"365","IKBKG","Bone Marrow/Immune;Skeleton;Eye;Skin;Hair/Nails;Brain/Cognition;Teeth and Dentition;Heart/Cardiovasculature/Lymphatic,Bone Marrow/Immune;Skin;Heart/Cardiovasculature/Lymphatic"
"366","PTF1A","Endocrine/Metabolic;Brain/Cognition,Endocrine/Metabolic;Brain/Cognition"
"367","ASCL1","Brain/Cognition"
"368","FLG","Skin"
"369","PIGQ","Brain/Cognition"
"370","WNT7A","Skeleton"
"371","FOXL2","Eye;Heart/Cardiovasculature/Lymphatic"
"372","CFL2","Musculature"
"373","MED17","Brain/Cognition"
"374","SMARCA4","Skeleton;Brain/Cognition;Cancer predisposition,Skeleton;Brain/Cognition;Cancer predisposition"
"375","SLC5A5","Endocrine/Metabolic"
"376","ACTA2","Heart/Cardiovasculature/Lymphatic"
"377","FANCG","Bone Marrow/Immune;Skeleton"
"378","FBXW4","Skeleton"
"379","ASPH","Face;Eye"
"380","TUBB2A","Brain/Cognition"
"381","SUMF1","Endocrine/Metabolic;Brain/Cognition"
"382","CIB2","Eye;Ear,Eye;Ear"
"383","RNF135","Skeleton"
"384","PDCD10","Skin;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"385","C2CD3","Face;Brain/Cognition"
"386","CEP41","Eye: Retina;Brain/Cognition"
"387","NF1","Skin;Skeleton;Spinal cord/Peripheral nerves;Eye;Brain/Cognition;Heart/Cardiovasculature/Lymphatic;Cancer predisposition"
"388","HCN1","Brain/Cognition"
"389","TGFB1","Skeleton"
"390","PTEN","Skin;Skeleton;Brain/Cognition,Skin;Skeleton;Brain/Cognition"
"391","FGFR1","Face;Skeleton;Endocrine/Metabolic,Face;Skeleton;Endocrine/Metabolic,Face;Skeleton;Endocrine/Metabolic,Skin;Skeleton;Brain/Cognition,Unknown"
"392","SGSH","Bone Marrow/Immune;Brain/Cognition"
"393","TLL1","Heart/Cardiovasculature/Lymphatic"
"394","GRIK2","Brain/Cognition,Unknown"
"395","ORC1","Skeleton;Brain/Cognition;Ear"
"396","FANCE","Bone Marrow/Immune;Skeleton"
"397","ARL6","Eye: Retina;Skeleton;Eye;Endocrine;Kidney Renal Tract;Endocrine/Metabolic;Brain/Cognition;Genitalia,Skeleton;Endocrine/Metabolic;Brain/Cognition;Eye"
"398","QKI","Brain/Cognition"
"399","IDUA","Skeleton;Endocrine/Metabolic;Brain/Cognition;GI tract"
"400","DNMT3A","Endocrine/Metabolic;Brain/Cognition,Unknown"
"401","UVSSA","Bone Marrow/Immune;Skin"
"402","PTPN14","Face;Skeleton;Heart/Cardiovasculature/Lymphatic"
"403","ROBO3","Skeleton;Eye"
"404","BBS1","Endocrine;Kidney Renal Tract;Skeleton;Brain/Cognition;Eye;Teeth and Dentition;Genitalia"
"405","ALX1","Face"
"406","BMP4","Face;Skeleton;Eye"
"407","WNT3","Lungs;Skeleton;GI tract;Endocrine;Kidney Renal Tract;Face;Brain/Cognition;Eye: Lens;Eye: Structure;Genitalia;Heart/Cardiovasculature/Lymphatic"
"408","MT-TP","Bone Marrow/Immune;Endocrine/Metabolic;Brain/Cognition;Eye"
"409","ALG12","Skeleton;Endocrine/Metabolic;Brain/Cognition"
"410","OXCT1","Endocrine/Metabolic"
